#Matching species	Similarity (%)
Oscillibacter ruminantium--Oscillospiraceae--JF750939 (Valid)	95.8806818182
Oscillibacter valericigenes--Oscillospiraceae--AB238598 (Valid)	95.523415978
Flavonifractor plautii--Unclassified Clostridiales--AY724678 (Valid)	93.9310344828
Pseudoflavonifractor capillosus--Unclassified Clostridiales--AY136666 (Valid)	93.6126373626
Intestinimonas butyriciproducens--Ruminococcaceae--KC311367 (Valid)	93.543956044
Agathobaculum butyriciproducens--Ruminococcaceae--KP889099 (Valid)	91.5390226112
Clostridium viride--Clostridiaceae--X81125 (Valid)	91.1784975879
Papillibacter cinnamivorans--Ruminococcaceae--AF167711 (Valid)	90.7586206897
Butyricicoccus faecihominis--Clostridiaceae--LC082228 (Valid)	90.4964539007
Ruminococcus bromii--Ruminococcaceae--L76600 (Valid)	90.3930131004
Clostridium methylpentosum--Clostridiaceae--Y18181 (Valid)	90.2166317261
Eubacterium siraeum--Eubacteriaceae--L34625 (Valid)	90.1398601399
Butyricicoccus pullicaecorum--Clostridiaceae--EU410376 (Valid)	90.1030927835
Harryflintia acetispora--Ruminococcaceae--KU999999 (Valid)	89.8603967671
Sporobacter termitidis--Ruminococcaceae--Z49863 (Valid)	89.7506925208
Clostridium straminisolvens--Clostridiaceae--AB125279 (Valid)	89.6383866481
Ruminococcus albus--Ruminococcaceae--L76598 (Valid)	89.4058697208
Ruminococcus champanellensis--Ruminococcaceae--AJ515913 (Valid)	89.3928310168
Anaerobacterium chartisolvens--Ruminococcaceae--AB793710 (Valid)	89.298123697
Caproiciproducens galactitolivorans--Unclassified Clostridiales--FJ805840 (Valid)	89.0353920888
Anaerotruncus colihominis--Ruminococcaceae--AJ315980 (Valid)	89.0331890332
Herbivorax saccincola--Ruminococcaceae--LN868252 (Valid)	88.9992902768
Ruminococcus callidus--Ruminococcaceae--L76596 (Valid)	88.7591240876
Agathobaculum desmolans--Ruminococcaceae--L34618 (Valid)	88.5734072022
Ruminococcus flavefaciens--Ruminococcaceae--L76603 (Valid)	88.2564841499
Eubacterium coprostanoligenes--Eubacteriaceae--HM037995 (Valid)	88.1944444444
Acutalibacter muris--Clostridiaceae--KR364749 (Valid)	88.0740233036
Mageeibacillus indolicus--Ruminococcaceae--GQ900631 (Valid)	87.9417879418
Acetivibrio cellulolyticus--Ruminococcaceae--L35516 (Valid)	87.9382889201
Clostridium alkalicellulosi--Clostridiaceae--AY959944 (Valid)	87.9060124395
Clostridium jeddahense--Clostridiaceae--HG726040 (Valid)	87.845705968
Faecalibacterium prausnitzii--Ruminococcaceae--AJ413954 (Valid)	87.3523280056
Ercella succinigenes--Ruminococcaceae--HG003571 (Valid)	87.3427091044
Fournierella massiliensis--Ruminococcaceae--LN846908 (Valid)	87.2852233677
Bacteroides cellulosolvens--Bacteroidaceae--L35517 (Valid)	87.2459705676
Clostridium clariflavum--Clostridiaceae--AB186359 (Valid)	87.1616932686
Pseudobacteroides cellulosolvens--Ruminococcaceae--HE862234 (Valid)	86.968641115
Clostridium leptum--Clostridiaceae--AJ305238 (Valid)	86.6988283942
Clostridium thermocellum--Clostridiaceae--CP000568 (Valid)	86.5331491713
Clostridium aldrichii--Clostridiaceae--X71846 (Valid)	86.0995850622
Clostridium stercorarium--Clostridiaceae--AJ310082 (Valid)	86.0977288369
Clostridium termitidis--Clostridiaceae--FR733680 (Valid)	86.0207612457
Hydrogenoanaerobacterium saccharovorans--Ruminococcaceae--EU158190 (Valid)	85.8815426997
Clostridium cellobioparum--Clostridiaceae--X71856 (Valid)	85.8131487889
Saccharofermentans acetigenes--Clostridiaceae--AY949857 (Valid)	85.773480663
Clostridium stercorarium--Clostridiaceae--AF266461 (Valid)	85.6060606061
Clostridium stercorarium--Clostridiaceae--X72870 (Valid)	85.4094975912
Clostridium cellulosi--Clostridiaceae--L09177 (Valid)	85.0208044383
Clostridium thermosuccinogenes--Clostridiaceae--Y18180 (Valid)	84.8693259972
Ruthenibacterium lactatiformans--Ruminococcaceae--KM098109 (Valid)	84.3298969072
