#Species	GC%
Parabacteroides_gordonii--GCF_000969825.1	44.19%
Bacteroides_faecichinchillae--GCF_000614145.1	38.73%
Bacteroides_caecimuris--GCF_001688725.2	42.61%
Parabacteroides_distasonis--GCF_000012845.1	45.06%
Porphyromonas_asaccharolytica--GCF_000212375.1	52.47%
Dysgonomonas_mossii--GCF_000213575.1	37.44%
Parabacteroides_merdae--GCF_000154105.1	45.28%
Bacteroides_oleiciplenus--GCF_000315485.1	43.38%
Paludibacter_propionicigenes--GCF_000183135.1	38.86%
Bacteroides_faecis--GCF_900106755.1	42.4%
Dysgonomonas_gadei--GCF_000213555.1	39.53%
Parabacteroides_chinchillae--GCF_900108035.1	40.36%
Bacteroides_sartorii--GCA_000614185.1	43.82%
Dysgonomonas_alginatilytica--GCF_003201355.1	36.74%
Dysgonomonas_capnocytophagoides--GCF_000426485.1	37.72%
Proteiniphilum_acetatigenes--GCF_000380985.1	43.14%
Bacteroides_stercorirosoris--GCF_000614165.1	44.55%
Parabacteroides_johnsonii--GCF_000156495.1	43.55%
Coprobacter_fastidiosus--GCF_000473955.1	38.32%
Proteiniphilum_saccharofermentans--GCF_900095135.1	43.63%
Bacteroides_fragilis--GCF_000025985.1	43.11%
Porphyromonas_loveana--GCA_003096695.1	50.03%
Parabacteroides_chartae--GCF_900168155.1	41.58%
Bacteroides_thetaiotaomicron--GCF_000011065.1	42.86%
Petrimonas_mucosa--GCF_900095795.1	47.97%
Bacteroides_ovatus--GCF_001314995.1	41.88%
Bacteroides_fluxus--GCF_000195635.1	45.57%
Barnesiella_intestinihominis--GCF_000296465.1	43.78%
Bacteroides_acidifaciens--GCA_000613385.1	43.05%
Bacteroides_massiliensis--GCF_000382445.1	41.94%
Barnesiella_viscericola--GCF_000512915.1	51.67%
Parabacteroides_goldsteinii--GCF_000969835.1	43.13%
Bacteroides_clarus--GCF_900129655.1	45.38%
Bacteroides_gallinarum--GCF_000374365.1	47.7%
Bacteroides_intestinalis--GCF_000172175.1	42.81%
Dysgonomonas_macrotermitis--GCF_900128985.1	38.54%
Bacteroides_nordii--GCF_000613465.1	40.6%
Dysgonomonas_hofstadii--GCA_001312525.1	39.48%
Tannerella_forsythia--GCF_001006485.1	47.14%
Bacteroides_luti--GCF_900128905.1	36.77%
Bacteroides_rodentium--GCA_000614125.1	47.05%
Bacteroides_coprophilus--GCF_000157915.1	43.62%
Bacteroides_uniformis--GCF_000154205.1	46.43%
Bacteroides_barnesiae--GCF_000374585.1	46.83%
