#Matching species	Similarity (%)
Intestinimonas butyriciproducens--Ruminococcaceae--KC311367 (Valid)	100.070323488
Flavonifractor plautii--Unclassified Clostridiales--AY724678 (Valid)	98.8700564972
Pseudoflavonifractor capillosus--Unclassified Clostridiales--AY136666 (Valid)	98.3122362869
Oscillibacter ruminantium--Oscillospiraceae--JF750939 (Valid)	97.4212034384
Oscillibacter valericigenes--Oscillospiraceae--AB238598 (Valid)	97.1126760563
Butyricicoccus faecihominis--Clostridiaceae--LC082228 (Valid)	96.1075725407
Ruminococcus bromii--Ruminococcaceae--L76600 (Valid)	95.5700798838
Clostridium viride--Clostridiaceae--X81125 (Valid)	95.5508474576
Ruminococcus callidus--Ruminococcaceae--L76596 (Valid)	95.3250547845
Harryflintia acetispora--Ruminococcaceae--KU999999 (Valid)	94.7794117647
Agathobaculum butyriciproducens--Ruminococcaceae--KP889099 (Valid)	94.7565543071
Ruminococcus champanellensis--Ruminococcaceae--AJ515913 (Valid)	94.7097722263
Ruminococcus flavefaciens--Ruminococcaceae--L76603 (Valid)	94.5205479452
Anaerotruncus colihominis--Ruminococcaceae--AJ315980 (Valid)	94.2363112392
Clostridium methylpentosum--Clostridiaceae--Y18181 (Valid)	93.9971751412
Ruminococcus albus--Ruminococcaceae--L76598 (Valid)	93.7187723055
Agathobaculum desmolans--Ruminococcaceae--L34618 (Valid)	93.1834153197
Butyricicoccus pullicaecorum--Clostridiaceae--EU410376 (Valid)	93.1228070175
Caproiciproducens galactitolivorans--Unclassified Clostridiales--FJ805840 (Valid)	92.9128277817
Papillibacter cinnamivorans--Ruminococcaceae--AF167711 (Valid)	92.5899788285
Clostridium straminisolvens--Clostridiaceae--AB125279 (Valid)	92.4662402274
Eubacterium siraeum--Eubacteriaceae--L34625 (Valid)	92.0284697509
Herbivorax saccincola--Ruminococcaceae--LN868252 (Valid)	91.6970138383
Sporobacter termitidis--Ruminococcaceae--Z49863 (Valid)	91.6371367824
Anaerobacterium chartisolvens--Ruminococcaceae--AB793710 (Valid)	91.5482954545
Subdoligranulum variabile--Ruminococcaceae--AJ518869 (Valid)	91.4265129683
Anaerofilum agile--Ruminococcaceae--X98011 (Valid)	91.037402964
Clostridium jeddahense--Clostridiaceae--HG726040 (Valid)	90.8819133034
Clostridium clariflavum--Clostridiaceae--AB186359 (Valid)	90.5832747716
Clostridium leptum--Clostridiaceae--AJ305238 (Valid)	90.395480226
Clostridium alkalicellulosi--Clostridiaceae--AY959944 (Valid)	90.2473498233
Fournierella massiliensis--Ruminococcaceae--LN846908 (Valid)	90.0983146067
Acetivibrio cellulolyticus--Ruminococcaceae--L35516 (Valid)	89.9352983465
Gemmiger formicilis--Hyphomicrobiaceae--GU562446 (Valid)	89.8033503277
Acutalibacter muris--Clostridiaceae--KR364749 (Valid)	89.6358543417
Bacteroides cellulosolvens--Bacteroidaceae--L35517 (Valid)	89.5908111989
Eubacterium coprostanoligenes--Eubacteriaceae--HM037995 (Valid)	89.537366548
Clostridium caenicola--Clostridiaceae--AB221372 (Valid)	89.5218002813
Faecalibacterium prausnitzii--Ruminococcaceae--AJ413954 (Valid)	89.4811656006
Clostridium thermocellum--Clostridiaceae--CP000568 (Valid)	88.9908256881
Pseudobacteroides cellulosolvens--Ruminococcaceae--HE862234 (Valid)	88.8809693514
Clostridium stercorarium--Clostridiaceae--AJ310082 (Valid)	88.5372714487
Clostridium aldrichii--Clostridiaceae--X71846 (Valid)	88.4724186704
Ethanoligenens harbinense--Ruminococcaceae--AY295777 (Valid)	88.3737517832
Hydrogenoanaerobacterium saccharovorans--Ruminococcaceae--EU158190 (Valid)	88.0197322058
Clostridium cellulosi--Clostridiaceae--L09177 (Valid)	87.9347054649
Saccharofermentans acetigenes--Clostridiaceae--AY949857 (Valid)	87.6412429379
Clostridium termitidis--Clostridiaceae--FR733680 (Valid)	87.6150035386
Clostridium cellobioparum--Clostridiaceae--X71856 (Valid)	87.5442321302
Ruthenibacterium lactatiformans--Ruminococcaceae--KM098109 (Valid)	87.2893258427
