#Matching species	Similarity (%)
Coprococcus comes--Lachnospiraceae--EF031542 (Valid)	93.0488644184
Clostridium nexile--Clostridiaceae--X73443 (Valid)	92.9355281207
Clostridium amygdalinum--Clostridiaceae--AY353957 (Valid)	92.9010238908
Clostridium saccharolyticum--Clostridiaceae--Y18185 (Valid)	92.6380368098
Clostridium indolis--Clostridiaceae--Y18184 (Valid)	92.5017041581
Anaerosporobacter mobilis--Clostridiaceae--AY534872 (Valid)	92.4410540915
Desulfotomaculum guttoideum--Peptococcaceae--Y11568 (Valid)	92.3653715065
Cuneatibacter caecimuris--Lachnospiraceae--KR364760 (Valid)	92.2972051806
Clostridium aerotolerans--Clostridiaceae--X76163 (Valid)	92.1853388658
Faecalicatena fissicatena--Lachnospiraceae--FR749936 (Valid)	92.160872529
Clostridium methoxybenzovorans--Clostridiaceae--AF067965 (Valid)	92.160872529
Butyrivibrio crossotus--Lachnospiraceae--ABWN01000012 (Valid)	92.1070693205
Clostridium herbivorans--Clostridiaceae--L34418 (Valid)	92.1070693205
Faecalicatena orotica--Lachnospiraceae--FR749917 (Valid)	92.0927062031
Roseburia intestinalis--Lachnospiraceae--AJ312385 (Valid)	92.0819112628
Roseburia faecis--Lachnospiraceae--AY305310 (Valid)	92.0744314266
Faecalicatena contorta--Lachnospiraceae--FR749946 (Valid)	92.0245398773
Acetivibrio ethanolgignens--Ruminococcaceae--FR749897 (Valid)	92.0136518771
Clostridium sphenoides--Clostridiaceae--AB075772 (Valid)	91.9398907104
Clostridium xylanolyticum--Clostridiaceae--X76739 (Valid)	91.9107391911
Clostridium celerecrescens--Clostridiaceae--X71848 (Valid)	91.8882072256
Eubacterium oxidoreducens--Eubacteriaceae--FR733672 (Valid)	91.8826739427
Fusicatenibacter saccharivorans--Clostridiaceae--AB698910 (Valid)	91.8367346939
Lactobacillus rogosae--Lactobacillaceae--GU269544 (Valid)	91.718426501
Roseburia hominis--Lachnospiraceae--AJ270482 (Valid)	91.6780354707
Hespellia porcina--Lachnospiraceae--AF445239 (Valid)	91.6262975779
Faecalimonas umbilicata--Lachnospiraceae--LC192831 (Valid)	91.6155419223
Falcatimonas natans--Lachnospiraceae--AB298726 (Valid)	91.6155419223
Robinsoniella peoriensis--Lachnospiraceae--AF445285 (Valid)	91.6155419223
Clostridium algidixylanolyticum--Clostridiaceae--AF092549 (Valid)	91.6155419223
Ruminococcus torques--Ruminococcaceae--L76604 (Valid)	91.6078984485
Ruminococcus gnavus--Ruminococcaceae--X94967 (Valid)	91.5637860082
Eubacterium uniforme--Eubacteriaceae--GU269550 (Valid)	91.5629322268
Clostridium glycyrrhizinilyticum--Clostridiaceae--AB233029 (Valid)	91.5473755965
Clostridium bolteae--Clostridiaceae--AJ508452 (Valid)	91.5473755965
Roseburia inulinivorans--Lachnospiraceae--AJ270473 (Valid)	91.4819944598
Blautia hydrogenotrophica--Unclassified Clostridiales--X95624 (Valid)	91.4718019257
Hungatella hathewayi--Clostridiaceae--AJ311620 (Valid)	91.4685314685
Clostridium polysaccharolyticum--Clostridiaceae--X77839 (Valid)	91.4500683995
Blautia hansenii--Unclassified Clostridiales--AB534168 (Valid)	91.342876619
Blautia coccoides--Unclassified Clostridiales--AB571656 (Valid)	91.342876619
Clostridium fimetarium--Clostridiaceae--AF126687 (Valid)	91.2747102931
Clostridium clostridioforme--Clostridiaceae--M59089 (Valid)	91.2027491409
Blautia schinkii--Unclassified Clostridiales--X94965 (Valid)	91.0775566232
Lachnospira multipara--Lachnospiraceae--FR733699 (Valid)	90.977443609
Ruminococcus gauvreauii--Ruminococcaceae--EF529620 (Valid)	90.9153475568
Blautia glucerasea--Unclassified Clostridiales--AB439724 (Valid)	90.9153005464
Hespellia stercorisuis--Lachnospiraceae--AF445264 (Valid)	90.8339076499
Clostridium populeti--Clostridiaceae--X71853 (Valid)	90.6548431105
Dorea formicigenerans--Lachnospiraceae--L34619 (Valid)	90.3358464702
