#Species	GC%
Kineothrix_alysoides--GCF_000732725.1	42.74%
Butyrivibrio_crossotus--GCF_000156015.1	37.55%
Clostridium_amygdalinum--GCF_900205965.1	41.29%
Clostridium_indolis--GCF_000526995.1	44.93%
Clostridium_polysaccharolyticum--GCF_900111595.1	36.54%
Roseburia_faecis--GCF_001405615.1	42.91%
Clostridium_asparagiforme--GCF_000158075.1	53.93%
Oribacterium_parvum--GCF_000238055.2	42.17%
Clostridium_aerotolerans--GCF_000687555.1	42.37%
Butyrivibrio_fibrisolvens--GCF_900129945.1	39.66%
Clostridium_saccharolyticum--GCF_000144625.1	45.0%
Ruminococcus_faecis--GCF_001312505.1	41.16%
Lachnobacterium_bovis--GCF_900107245.1	31.26%
Faecalicatena_contorta--GCF_003149105.1	42.03%
Pseudobutyrivibrio_ruminis--GCF_000703005.1	38.86%
Eisenbergiella_tayi--GCF_001881565.1	46.76%
Lachnospira_multipara--GCF_000424105.1	35.24%
Roseburia_hominis--GCF_000225345.1	48.5%
Clostridium_glycyrrhizinilyticum--GCF_001311035.1	45.33%
Clostridium_butyricum--GCF_000409755.1	28.5%
Clostridium_fimetarium--GCF_900111235.1	33.59%
Roseburia_inulinivorans--GCF_000174195.1	41.93%
Roseburia_intestinalis--GCF_000156535.1	42.34%
Murimonas_intestini--GCF_003148945.1	45.46%
Oribacterium_asaccharolyticum--GCF_000238075.1	43.23%
Anaerostipes_caccae--GCF_000154305.1	44.31%
Clostridium_bolteae--GCF_002234575.2	49.05%
Eubacterium_uniforme--GCF_900167115.1	32.16%
Faecalicatena_fissicatena--GCF_001028025.1	45.55%
Clostridium_sphenoides--GCF_900105615.1	43.77%
Clostridium_celerecrescens--GCF_000732605.1	43.51%
Faecalicatena_orotica--GCF_003149245.1	44.74%
Bacteroides_pectinophilus--GCF_000155855.1	41.89%
Lactobacillus_rogosae--GCF_900112995.1	36.13%
Ruminococcus_torques--GCF_000153925.1	41.94%
Eubacterium_eligens--GCF_000146185.1	37.57%
Anaerobium_acetethylicum--GCF_900096945.1	43.51%
Eubacterium_oxidoreducens--GCF_900104415.1	39.83%
Eubacterium_limosum--GCF_000807675.2	47.19%
Coprococcus_eutactus--GCF_000154425.1	43.08%
Desulfotomaculum_nigrificans--GCF_000189755.2	46.27%
Desulfotomaculum_guttoideum--GCF_900105215.1	43.41%
Ruminococcus_gnavus--GCF_002959615.1	42.85%
