#Species	GC%
Salmonella_enterica--GCF_900478215.1	51.77%
Serratia_nematodiphila--GCF_000738675.1	59.54%
Citrobacter_koseri--GCA_900446925.1	53.81%
Kosakonia_cowanii--GCF_001975225.1	56.22%
Citrobacter_werkmanii--GCF_000759755.1	52.07%
Citrobacter_freundii--GCA_001686385.1	51.48%
Citrobacter_sedlakii--GCF_000759835.1	54.72%
Klebsiella_pneumoniae--GCF_000742135.1	56.99%
Kosakonia_oryzae--GCF_001658025.1	54.01%
Pantoea_gaviniae--GCF_002953195.1	58.04%
Enterobacter_ludwigii--GCF_900068835.1	54.58%
Enterobacter_soli--GCF_001654845.1	53.76%
Enterobacter_bugandensis--GCF_900324475.1	56.0%
Pantoea_theicola--GCF_002895925.1	53.98%
Kosakonia_sacchari--GCF_000300455.3	53.74%
Pluralibacter_gergoviae--GCF_001598855.1	58.64%
Escherichia_coli--GCF_000690815.1	50.64%
Pantoea_agglomerans--GCF_001598475.1	55.12%
Citrobacter_youngae--GCF_000155975.1	52.65%
Cronobacter_sakazakii--GCF_000982825.1	56.64%
Serratia_marcescens--GCF_000735445.1	59.84%
Escherichia_fergusonii--GCF_000026225.1	49.92%
Enterobacter_cancerogenus--GCF_002072125.1	55.39%
Citrobacter_amalonaticus--GCF_000981805.1	53.14%
Escherichia_albertii--GCF_000759775.1	49.79%
Pantoea_coffeiphila--GCF_002976475.1	55.16%
Citrobacter_farmeri--GCF_002249995.1	53.06%
Citrobacter_braakii--GCF_002075345.1	51.9%
Enterobacter_hormaechei--GCF_001875655.1	55.1%
Salmonella_bongori--GCF_000252995.1	51.33%
Shigella_flexneri--GCA_002950215.1	50.67%
Klebsiella_quasipneumoniae--GCF_000751755.1	57.96%
Citrobacter_rodentium--GCF_000759815.1	54.63%
Escherichia_marmotae--GCF_002900365.1	50.4%
Enterobacter_cloacae--GCF_000025565.1	54.58%
Shigella_dysenteriae--GCA_002949675.1	50.98%
