#Species	GC%
Clostridium_amygdalinum--GCF_900205965.1	41.29%
Clostridium_indolis--GCF_000526995.1	44.93%
Roseburia_faecis--GCF_001405615.1	42.91%
Clostridium_asparagiforme--GCF_000158075.1	53.93%
Lactonifactor_longoviformis--GCF_900129135.1	46.39%
Eubacterium_cellulosolvens--GCF_000183525.2	48.17%
Blautia_schinkii--GCF_000702025.1	45.59%
Coprococcus_comes--GCF_000155875.1	42.45%
Clostridium_aerotolerans--GCF_000687555.1	42.37%
Clostridium_saccharolyticum--GCF_000144625.1	45.0%
Fusicatenibacter_saccharivorans--GCF_001405555.1	47.0%
Ruminococcus_faecis--GCF_001312505.1	41.16%
Faecalicatena_contorta--GCF_003149105.1	42.03%
Roseburia_hominis--GCF_000225345.1	48.5%
Clostridium_glycyrrhizinilyticum--GCF_001311035.1	45.33%
Hespellia_stercorisuis--GCF_900142165.1	45.24%
Blautia_producta--GCF_000373885.1	45.68%
Clostridium_lavalense--GCF_003024655.1	55.24%
Clostridium_butyricum--GCF_000409755.1	28.5%
Blautia_coccoides--GCF_002221555.2	45.7%
Roseburia_inulinivorans--GCF_000174195.1	41.93%
Clostridium_citroniae--GCF_000233455.1	48.76%
Roseburia_intestinalis--GCF_000156535.1	42.34%
Blautia_wexlerae--GCF_000484655.1	41.41%
Clostridium_bolteae--GCF_002234575.2	49.05%
Blautia_obeum--GCF_000153905.1	41.58%
Ruminococcus_gauvreauii--GCF_000425525.1	47.6%
Faecalicatena_fissicatena--GCF_001028025.1	45.55%
Blautia_hydrogenotrophica--GCF_000157975.1	44.3%
Clostridium_sphenoides--GCF_900105615.1	43.77%
Blautia_hansenii--GCF_002222595.2	39.04%
Clostridium_celerecrescens--GCF_000732605.1	43.51%
Faecalicatena_orotica--GCF_003149245.1	44.74%
Lactobacillus_rogosae--GCF_900112995.1	36.13%
Ruminococcus_torques--GCF_000153925.1	41.94%
Marvinbryantia_formatexigens--GCF_000173815.1	49.55%
Robinsoniella_peoriensis--GCF_000797495.1	41.15%
Parasporobacterium_paucivorans--GCF_900141895.1	44.13%
Eubacterium_oxidoreducens--GCF_900104415.1	39.83%
Eubacterium_limosum--GCF_000807675.2	47.19%
Coprococcus_eutactus--GCF_000154425.1	43.08%
Desulfotomaculum_nigrificans--GCF_000189755.2	46.27%
Desulfotomaculum_guttoideum--GCF_900105215.1	43.41%
Ruminococcus_gnavus--GCF_002959615.1	42.85%
