#Species	GC%
Acetivibrio_ethanolgignens--GCF_001461035.1	40.98%
Clostridium_amygdalinum--GCF_900205965.1	41.29%
Clostridium_indolis--GCF_000526995.1	44.93%
Clostridium_polysaccharolyticum--GCF_900111595.1	36.54%
Roseburia_faecis--GCF_001405615.1	42.91%
Anaerostipes_hadrus--GCF_000332875.2	37.14%
Coprococcus_comes--GCF_000155875.1	42.45%
Eubacterium_ruminantium--GCF_900108205.1	40.04%
Clostridium_saccharolyticum--GCF_000144625.1	45.0%
Ruminococcus_faecis--GCF_001312505.1	41.16%
Faecalicatena_contorta--GCF_003149105.1	42.03%
Pseudobutyrivibrio_ruminis--GCF_000703005.1	38.86%
Lachnospira_multipara--GCF_000424105.1	35.24%
Roseburia_hominis--GCF_000225345.1	48.5%
Clostridium_glycyrrhizinilyticum--GCF_001311035.1	45.33%
Hespellia_stercorisuis--GCF_900142165.1	45.24%
Eubacterium_hallii--GCF_000173975.1	38.19%
Clostridium_butyricum--GCF_000409755.1	28.5%
Clostridium_fimetarium--GCF_900111235.1	33.59%
Roseburia_inulinivorans--GCF_000174195.1	41.93%
Roseburia_intestinalis--GCF_000156535.1	42.34%
Acetivibrio_cellulolyticus--GCF_000179595.2	35.49%
Anaerostipes_caccae--GCF_000154305.1	44.31%
Eubacterium_uniforme--GCF_900167115.1	32.16%
Agathobacter_ruminis--GCF_002735305.1	43.53%
Faecalicatena_fissicatena--GCF_001028025.1	45.55%
Blautia_hydrogenotrophica--GCF_000157975.1	44.3%
Clostridium_celerecrescens--GCF_000732605.1	43.51%
Faecalicatena_orotica--GCF_003149245.1	44.74%
Bacteroides_pectinophilus--GCF_000155855.1	41.89%
Lactobacillus_rogosae--GCF_900112995.1	36.13%
Robinsoniella_peoriensis--GCF_000797495.1	41.15%
Parasporobacterium_paucivorans--GCF_900141895.1	44.13%
Dorea_formicigenerans--GCF_000169235.1	40.97%
Eubacterium_ventriosum--GCF_000153885.1	34.9%
Eubacterium_oxidoreducens--GCF_900104415.1	39.83%
Eubacterium_limosum--GCF_000807675.2	47.19%
Anaerosporobacter_mobilis--GCF_900142955.1	34.94%
Coprococcus_eutactus--GCF_000154425.1	43.08%
Desulfotomaculum_nigrificans--GCF_000189755.2	46.27%
Desulfotomaculum_guttoideum--GCF_900105215.1	43.41%
Ruminococcus_gnavus--GCF_002959615.1	42.85%
