#Matching species	Similarity (%)
Butyricicoccus faecihominis--Clostridiaceae--LC082228 (Valid)	116.978193146
Agathobaculum butyriciproducens--Ruminococcaceae--KP889099 (Valid)	113.00623053
Butyricicoccus pullicaecorum--Clostridiaceae--EU410376 (Valid)	109.898674981
Agathobaculum desmolans--Ruminococcaceae--L34618 (Valid)	109.53125
Anaerotruncus colihominis--Ruminococcaceae--AJ315980 (Valid)	106.729264476
Ruminococcus callidus--Ruminococcaceae--L76596 (Valid)	105.329153605
Ruminococcus albus--Ruminococcaceae--L76598 (Valid)	105.168363352
Ruminococcus bromii--Ruminococcaceae--L76600 (Valid)	105.082095387
Harryflintia acetispora--Ruminococcaceae--KU999999 (Valid)	104.616588419
Clostridium methylpentosum--Clostridiaceae--Y18181 (Valid)	104.474097331
Ruminococcus flavefaciens--Ruminococcaceae--L76603 (Valid)	104.07523511
Ruminococcus champanellensis--Ruminococcaceae--AJ515913 (Valid)	103.846153846
Oscillibacter ruminantium--Oscillospiraceae--JF750939 (Valid)	103.051643192
Intestinimonas butyriciproducens--Ruminococcaceae--KC311367 (Valid)	103.046875
Flavonifractor plautii--Unclassified Clostridiales--AY724678 (Valid)	102.421875
Subdoligranulum variabile--Ruminococcaceae--AJ518869 (Valid)	102.034428795
Anaerofilum pentosovorans--Ruminococcaceae--X97852 (Valid)	101.965408805
Caproiciproducens galactitolivorans--Unclassified Clostridiales--FJ805840 (Valid)	101.795472287
Anaerofilum agile--Ruminococcaceae--X98011 (Valid)	101.729559748
Pseudoflavonifractor capillosus--Unclassified Clostridiales--AY136666 (Valid)	101.484375
Fournierella massiliensis--Ruminococcaceae--LN846908 (Valid)	101.331245106
Clostridium viride--Clostridiaceae--X81125 (Valid)	101.250977326
Eubacterium siraeum--Eubacteriaceae--L34625 (Valid)	101.098039216
Herbivorax saccincola--Ruminococcaceae--LN868252 (Valid)	101.096319499
Oscillibacter valericigenes--Oscillospiraceae--AB238598 (Valid)	101.017214397
Anaerobacterium chartisolvens--Ruminococcaceae--AB793710 (Valid)	101.017214397
Gemmiger formicilis--Hyphomicrobiaceae--GU562446 (Valid)	100.861393892
Clostridium leptum--Clostridiaceae--AJ305238 (Valid)	100.705329154
Papillibacter cinnamivorans--Ruminococcaceae--AF167711 (Valid)	100.469116497
Lutispora thermophila--Clostridiaceae--AB186360 (Valid)	99.921630094
Clostridium alkalicellulosi--Clostridiaceae--AY959944 (Valid)	99.4526974199
Clostridium sufflavum--Clostridiaceae--AB267266 (Valid)	99.3754879001
Ruthenibacterium lactatiformans--Ruminococcaceae--KM098109 (Valid)	98.9819890368
Acetanaerobacterium elongatum--Ruminococcaceae--AY487928 (Valid)	98.5109717868
Bacteroides cellulosolvens--Bacteroidaceae--L35517 (Valid)	98.3555207518
Clostridium cellobioparum--Clostridiaceae--X71856 (Valid)	98.2045277127
Clostridium termitidis--Clostridiaceae--FR733680 (Valid)	98.1264637002
Hydrogenoanaerobacterium saccharovorans--Ruminococcaceae--EU158190 (Valid)	98.1132075472
Clostridium stercorarium--Clostridiaceae--AJ310082 (Valid)	98.0422866092
Sporobacter termitidis--Ruminococcaceae--Z49863 (Valid)	97.8090766823
Mageeibacillus indolicus--Ruminococcaceae--GQ900631 (Valid)	97.4980453479
Ethanoligenens harbinense--Ruminococcaceae--AY295777 (Valid)	97.421875
Clostridium cellulosi--Clostridiaceae--L09177 (Valid)	97.3478939158
Saccharofermentans acetigenes--Clostridiaceae--AY949857 (Valid)	97.1896955504
Clostridium stercorarium--Clostridiaceae--AF266461 (Valid)	96.8652037618
Clostridium hungatei--Clostridiaceae--FR749966 (Valid)	96.796875
Clostridium stercorarium--Clostridiaceae--X72870 (Valid)	96.7110415035
Clostridium cellulolyticum--Clostridiaceae--X71847 (Valid)	96.6458658346
Clostridium papyrosolvens--Clostridiaceae--X71852 (Valid)	96.5625
Pelotomaculum propionicicum--Peptococcaceae--AB154390 (Valid)	96.171875
