#Species	GC%
Bifidobacterium_asteroides--GCF_000967185.1	60.44%
Bifidobacterium_tsurumiense--GCF_000741765.1	52.84%
Bifidobacterium_eulemuris--GCF_002259685.1	62.2%
Bifidobacterium_psychraerophilum--GCF_000741705.1	58.75%
Bifidobacterium_merycicum--GCF_900129045.1	60.36%
Bifidobacterium_biavatii--GCF_000741165.1	63.1%
Bifidobacterium_ruminantium--GCF_000770925.1	59.17%
Bifidobacterium_moukalabense--GCF_000522505.1	59.87%
Bifidobacterium_aesculapii--GCF_001417815.1	64.82%
Bifidobacterium_actinocoloniiforme--GCF_001263395.1	62.71%
Bifidobacterium_magnum--GCF_000741255.1	58.72%
Bifidobacterium_dentium--GCF_001042595.1	58.54%
Bifidobacterium_mongoliense--GCF_000741285.1	62.78%
Bifidobacterium_pseudolongum--GCF_000771225.1	63.07%
Bifidobacterium_catenulatum--GCF_001025195.1	56.2%
Bifidobacterium_breve--GCF_001025175.1	58.89%
Bifidobacterium_boum--GCF_000741535.1	59.31%
Bifidobacterium_crudilactis--GCF_000738005.1	57.72%
Bifidobacterium_angulatum--GCF_001025155.1	59.43%
Bifidobacterium_pullorum--GCF_000771405.1	64.31%
Bifidobacterium_lemurum--GCF_001895165.1	62.59%
Bifidobacterium_kashiwanohense--GCF_000800455.1	56.12%
Bifidobacterium_bifidum--GCF_001025135.1	62.66%
Bifidobacterium_adolescentis--GCF_000010425.1	59.18%
Bifidobacterium_reuteri--GCF_000741695.1	60.45%
Bifidobacterium_animalis--GCF_000260715.1	60.47%
Bifidobacterium_longum--GCF_000196555.1	60.33%
Bifidobacterium_aquikefiri--GCF_002259795.1	52.29%
Bifidobacterium_indicum--GCF_000706765.1	60.49%
Bifidobacterium_saguini--GCF_000741715.1	56.35%
Bifidobacterium_scardovii--GCF_001042635.1	64.63%
Bifidobacterium_subtile--GCF_000741775.1	60.92%
Bifidobacterium_gallinarum--GCF_000741215.1	64.22%
Bifidobacterium_pseudocatenulatum--GCF_001025215.1	56.38%
Bifidobacterium_thermophilum--GCF_000741495.1	59.91%
Bifidobacterium_stellenboschense--GCF_000741785.1	65.34%
Bifidobacterium_gallicum--GCF_000741205.1	57.61%
Bifidobacterium_thermacidophilum--GCF_000741455.1	60.38%
Bifidobacterium_hapali--GCF_002259755.1	54.5%
Bifidobacterium_callitrichos--GCF_003024955.1	64.54%
