#Species	GC%
Clostridium_collagenovorans--GCF_900130005.1	28.88%
Clostridium_stercorarium--GCF_000331995.1	42.24%
Clostridium_botulinum--GCF_000020165.1	27.48%
Fastidiosipila_sanguinis--GCF_002998295.1	33.73%
Pseudobacteroides_cellulosolvens--GCF_001262605.1	35.55%
Clostridium_methylpentosum--GCF_000158655.1	50.74%
Clostridium_hungatei--GCF_002051585.1	42.27%
Ruminococcus_albus--GCF_900109655.1	45.19%
Butyricicoccus_pullicaecorum--GCF_900167005.1	54.08%
Intestinimonas_butyriciproducens--GCA_003096335.1	59.42%
Sporobacter_termitidis--GCF_900130065.1	56.6%
Herbivorax_saccincola--GCF_002844395.1	34.82%
Clostridium_argentinense--GCF_000816675.1	28.6%
Oscillibacter_valericigenes--GCF_000283575.1	53.19%
Hathewaya_proteolytica--GCF_900142225.1	34.05%
Mageeibacillus_indolicus--GCF_000025225.2	44.21%
Clostridium_butyricum--GCF_000409755.1	28.5%
Clostridium_cellulolyticum--GCF_000022065.1	37.4%
Ruminococcus_bromii--GCF_900101355.1	39.14%
Papillibacter_cinnamivorans--GCF_900176335.1	55.79%
Clostridium_straminisolvens--GCF_000521465.1	38.33%
Clostridium_papyrosolvens--GCF_000175795.2	37.02%
Clostridium_sufflavum--GCF_003208175.1	38.62%
Pseudoflavonifractor_capillosus--GCF_000169255.2	59.11%
Fournierella_massiliensis--GCF_001486665.1	56.83%
Oscillibacter_ruminantium--GCF_000307265.1	54.45%
Clostridium_tepidiprofundi--GCF_001594005.1	29.44%
Clostridium_sporogenes--GCF_001020205.1	27.98%
Clostridium_pasteurianum--GCF_000389635.1	30.56%
Clostridium_termitidis--GCF_000350485.1	41.2%
Flavonifractor_plautii--GCF_000239295.1	60.97%
Clostridium_cellobioparum--GCF_000621505.1	41.32%
Ruminococcus_champanellensis--GCF_000210095.1	52.21%
Ruminococcus_flavefaciens--GCF_000571935.1	45.48%
Clostridium_cellulosi--GCF_000953215.1	44.15%
Catabacter_hongkongensis--GCF_000981035.1	48.53%
